session_id,level,kind,start_after_peak_s,end_after_peak_s,center_after_peak_s,samples,accel_magnitude_mps2_mean,gyro_magnitude_dps_mean,accel_msd_mean,gyro_msd_mean
33,7,near_fall_simulation,1,2,1.5,10,10.1167,27.1067,0.067646237,40.4799289
33,7,near_fall_simulation,2,3,2.5,10,9.9265,12.391,0.01971174443,13.53543685
33,7,near_fall_simulation,3,4,3.5,10,9.969999999999999,27.025800000000004,0.04046849610000001,32.6976498
33,7,near_fall_simulation,4,5,4.5,10,9.775099999999998,23.555799999999998,0.04052939169999999,26.8061874
33,7,near_fall_simulation,5,6,5.5,10,9.8734,16.5347,0.0336500317,14.9660113
33,7,near_fall_simulation,6,7,6.5,10,9.8507,21.9409,0.037413494000000005,24.1813322
33,7,near_fall_simulation,7,8,7.5,10,9.9216,18.1673,0.02519341,14.7468084
33,7,near_fall_simulation,8,9,8.5,10,9.830499999999999,21.1031,0.049123824999999996,20.937614399999998
33,7,near_fall_simulation,9,10,9.5,10,9.9378,20.8463,0.036769157000000004,14.021169599999999
34,7,near_fall_simulation,-5,-4,-4.5,10,9.8489,12.819700000000001,0.0321241136,13.438445300000001
34,7,near_fall_simulation,-4,-3,-3.5,10,9.8771,9.9134,0.0112647625,8.138160700000002
34,7,near_fall_simulation,-3,-2,-2.5,10,9.8777,11.0906,0.01490961348,8.615837500000001
34,7,near_fall_simulation,-2,-1,-1.5,10,9.8758,11.563600000000001,0.024202871,11.0662705
34,7,near_fall_simulation,-1,0,-0.5,9,10.52511111111111,34.20433333333333,1.9531741438888888,466.31760444444444
34,7,near_fall_simulation,0,1,0.5,10,7.167499999999999,53.6991,4.71400309,823.737624
34,7,near_fall_simulation,1,2,1.5,10,9.888300000000001,22.8777,0.0479537589,27.291362
34,7,near_fall_simulation,2,3,2.5,10,9.7689,16.712699999999998,0.0171824398,9.6146197
34,7,near_fall_simulation,3,4,3.5,10,9.855100000000002,13.518300000000002,0.026235300200000006,20.191479000000005
34,7,near_fall_simulation,4,5,4.5,10,10.0104,14.0003,0.021853129500000002,13.6905308
34,7,near_fall_simulation,5,6,5.5,10,9.7986,11.0929,0.042504101,15.3570241
34,7,near_fall_simulation,6,7,6.5,10,9.89,12.8888,0.06794113399999999,18.474349800000002
34,7,near_fall_simulation,7,8,7.5,10,9.9542,11.330400000000001,0.0491815279,17.821654100000003
34,7,near_fall_simulation,8,9,8.5,10,9.887899999999998,11.3168,0.056112221,20.978793000000003
34,7,near_fall_simulation,9,10,9.5,10,9.8827,15.3994,0.0648989908,26.2733501
35,7,near_fall_simulation,-5,-4,-4.5,10,9.888399999999999,16.0761,0.025084441899999997,16.365593599999997
35,7,near_fall_simulation,-4,-3,-3.5,10,10.0514,16.7881,0.0095978178,14.9170902
35,7,near_fall_simulation,-3,-2,-2.5,10,9.911599999999998,17.2495,0.022885342868,15.495587999999998
35,7,near_fall_simulation,-2,-1,-1.5,10,9.493400000000001,61.1654,7.5703113129999995,1382.064566
35,7,near_fall_simulation,-1,0,-0.5,9,8.606222222222222,60.413666666666664,3.3121400544444444,819.2283777777777
35,7,near_fall_simulation,0,1,0.5,10,8.211,36.3172,5.4286073109999995,813.3011343999999
35,7,near_fall_simulation,1,2,1.5,10,9.7991,20.2426,0.05212437909999999,27.770725000000006
35,7,near_fall_simulation,2,3,2.5,10,9.9997,18.0627,0.018365343099999997,17.3763439
35,7,near_fall_simulation,3,4,3.5,10,9.851999999999999,14.9112,0.0388495922,14.885281299999999
35,7,near_fall_simulation,4,5,4.5,10,9.923300000000001,21.3351,0.053451490000000004,29.013698999999995
35,7,near_fall_simulation,5,6,5.5,10,9.8423,16.5977,0.0265494333,20.7177566
35,7,near_fall_simulation,6,7,6.5,10,9.9159,12.608799999999999,0.0256069738,17.5144143
35,7,near_fall_simulation,7,8,7.5,10,9.964599999999999,15.638,0.007841098837,7.344626099999999
35,7,near_fall_simulation,8,9,8.5,10,9.944300000000002,17.785800000000002,0.030816176600000002,15.3350579
35,7,near_fall_simulation,9,10,9.5,10,9.883300000000002,16.5092,0.019198797200000003,14.093439
