session_id,level,start_s,end_s,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_max,gyro_magnitude_dps_mean,gyro_magnitude_dps_max,accel_msd_mean,accel_msd_max,gyro_msd_mean,gyro_msd_max
4,1,17,18,10,10.051999999999998,10.052,1.4364000000000001,1.449,0.0,0.0,6.3500069e-05,0.0001246668
4,1,18,19,10,10.051999999999998,10.052,1.4456,1.462,0.0,0.0,9.5866679e-05,0.0001526663
4,1,19,20,9,10.052,10.052,1.4405555555555556,1.451,0.0,0.0,6.799997888888889e-05,0.0001136664
4,1,20,21,10,10.051999999999998,10.052,1.4361,1.45,3.205679e-06,3.205679e-05,8.833335100000002e-05,0.0001166662
4,1,21,22,10,10.051999999999998,10.052,1.4192,1.433,3.205679e-06,3.205679e-05,6.9933174e-05,0.0001616666
4,1,22,23,10,10.051999999999998,10.052,1.4264,1.445,0.0,0.0,7.8866571e-05,0.0001216664
4,1,23,24,10,10.051999999999998,10.052,1.4379000000000002,1.453,0.0,0.0,8.4600128e-05,0.000159
4,1,24,25,10,10.051999999999998,10.052,1.4300000000000002,1.445,0.0,0.0,5.113338099999999e-05,0.0001236673
4,1,25,26,10,10.051999999999998,10.052,1.4529,1.47,0.0,0.0,5.06334749e-05,0.0001190003
4,1,26,27,10,10.051999999999998,10.052,1.437,1.45,0.0,0.0,8.8199863e-05,0.000148666
4,1,27,28,10,10.051999999999998,10.052,1.4119,1.427,0.0,0.0,5.1399974e-05,0.0001663333
4,1,28,29,10,10.051999999999998,10.052,1.4152,1.44,0.0,0.0,5.02333003e-05,0.0001186666
5,1,0,1,10,10.056999999999999,10.062,1.4064,1.416,6.411336e-06,3.205668e-05,5.780005199999999e-05,0.000104667
5,1,1,2,10,10.056999999999999,10.062,1.4080999999999997,1.42,3.205668e-06,3.205668e-05,6.7900057e-05,0.000137667
5,1,2,3,10,10.048,10.052,1.4218,1.433,1.2822703e-05,6.411346e-05,6.706679899999999e-05,0.0001626661
5,1,3,4,10,10.042,10.042,1.4328999999999998,1.449,3.205679e-06,3.205679e-05,7.5933562e-05,0.0001636672
5,1,4,5,10,10.042,10.042,1.4298,1.451,0.0,0.0,8.8999878e-05,0.0001819991
5,1,5,6,10,10.042,10.042,1.4377,1.455,0.0,0.0,6.993330200000001e-05,0.0001923333
5,1,6,7,10,10.042,10.042,1.4238000000000002,1.443,0.0,0.0,6.6399906e-05,0.0001396659
5,1,7,8,10,10.050999999999998,10.052,1.4241,1.435,3.205668e-06,3.205668e-05,9.330002500000001e-05,0.0001699999
5,1,8,9,10,10.051999999999998,10.052,1.4284,1.439,0.0,0.0,7.626676599999999e-05,0.0001296665
5,1,9,10,10,10.051999999999998,10.052,1.4395000000000002,1.456,0.0,0.0,6.0733330000000006e-05,0.0001433338
5,1,10,11,10,10.051999999999998,10.052,1.4459000000000002,1.463,0.0,0.0,5.8566635e-05,0.0001310002
5,1,11,12,10,10.051999999999998,10.052,1.4304999999999999,1.457,0.0,0.0,5.7933235e-05,0.000119
5,1,12,13,10,10.051999999999998,10.052,1.4221,1.437,0.0,0.0,4.8033434400000006e-05,0.0001056669
5,1,13,14,10,10.051999999999998,10.052,1.4188000000000003,1.429,0.0,0.0,6.246692970000002e-05,0.0002090003
5,1,14,15,10,10.051999999999998,10.052,1.4354,1.454,0.0,0.0,8.109987e-05,0.0001499998
5,1,15,16,10,10.051999999999998,10.052,1.4270999999999998,1.448,0.0,0.0,0.00010366660400000002,0.0001793332
5,1,16,17,9,10.052,10.052,1.4423333333333335,1.46,0.0,0.0,7.174082111111111e-05,0.0001416663
5,1,17,18,10,10.044,10.052,1.4415,1.459,3.205668e-06,3.205668e-05,7.2599953e-05,0.000156666
5,1,18,19,10,10.042,10.042,1.4447,1.461,0.0,0.0,9.290009500000001e-05,0.0001560004
5,1,19,20,10,10.042,10.042,1.4354,1.45,0.0,0.0,7.239988299999999e-05,0.0001216668
5,1,20,21,10,10.042,10.042,1.4402,1.452,0.0,0.0,8.9233367e-05,0.0001636669
5,1,21,22,10,10.042,10.042,1.4460000000000002,1.455,0.0,0.0,6.85334e-05,0.0001686668
5,1,22,23,10,10.042,10.042,1.4269,1.442,0.0,0.0,7.8033124e-05,0.0001689993
5,1,23,24,10,10.042,10.042,1.4356,1.45,0.0,0.0,5.7099851e-05,0.0001126669
5,1,24,25,10,10.026000000000002,10.032,1.4453,1.461,6.411336e-06,3.205668e-05,8.876675700000001e-05,0.0001603337
5,1,25,26,10,10.028,10.032,1.4462,1.454,3.205668e-06,3.205668e-05,6.566661499999999e-05,0.0001779993
5,1,26,27,10,10.042,10.042,1.4423,1.453,3.205668e-06,3.205668e-05,7.8566737e-05,0.0001526666
5,1,27,28,10,10.042,10.042,1.4512,1.463,0.0,0.0,7.259992799999999e-05,0.0001529998
5,1,28,29,10,10.042,10.042,1.4455,1.457,0.0,0.0,7.1900007e-05,0.0001380002
6,2,0,1,10,9.936699999999998,9.996,4.7416,7.636,0.00442383679,0.02401054,1.0419242199999998,2.31849
6,2,1,2,10,9.9625,10.005,11.5512,14.164,0.0049175135,0.01208543,1.850663612,6.938884
6,2,2,3,10,9.9539,9.969,4.3863,6.816,0.001282270738,0.004295613,1.0820371100000001,2.303732
6,2,3,4,10,9.950599999999998,9.993,7.0337000000000005,9.83,0.0028915200800000004,0.005802278,1.485756138,4.242578
6,2,4,5,10,9.955500000000002,9.996,7.246300000000001,8.768,0.0014361442379999998,0.003910933,0.279405156,1.675374
6,2,5,6,10,9.9774,10.014,6.5864,12.528,0.01156608648,0.05581082,1.45846678,3.63968
6,2,6,7,10,9.9687,9.99,5.2798,7.024,0.00079180312,0.001731072,0.134742023,0.2855486
6,2,7,8,10,9.9251,9.984,6.0974,8.723,0.0028594662199999997,0.01173279,1.49892884,5.016921
6,2,8,9,10,9.940299999999999,10.001,5.695,8.536,0.0028017637299999998,0.01721447,0.9371619299999999,2.751081
6,2,9,10,10,9.969,9.998,8.195899999999998,10.719,0.00284023246,0.01250214,0.728410978,1.491505
6,2,10,11,10,9.935699999999999,10.011,6.7381,9.909,0.00493353826,0.02622245,1.7657357049999998,3.726843
6,2,11,12,10,9.9411,9.985,8.773,14.095,0.006603699503,0.04132119,2.259208396,7.027526
6,2,12,13,10,9.9852,10.108,8.4689,10.476,0.0019522578700000002,0.00490469,1.04131975,3.572898
6,2,13,14,10,9.9209,10.001,9.3177,12.929,0.008886140150000001,0.05209229,3.6490256899999993,10.46871
6,2,14,15,10,9.928799999999999,9.985,8.519400000000001,13.98,0.007437168459999999,0.04430242,2.62515676,7.692857
6,2,15,16,10,9.9499,10.01,10.9708,16.463,0.00689862054,0.03317879,1.8901770399999998,8.451078
6,2,16,17,10,9.935799999999999,9.988,5.8406,8.301,0.00279214494,0.005802267,1.97647117,8.614443
6,2,17,18,10,9.9657,10.002,5.1054,9.526,0.005292573439999999,0.03106303,1.14169064,3.489363
6,2,18,19,10,9.9591,10.005,8.2985,15.085,0.005097030010000001,0.03978247,0.8623137269000001,2.20689
6,2,19,20,10,9.9227,10.016,7.238400000000001,11.421,0.007956492780000001,0.04789284,3.1477474400000003,10.37817
6,2,20,21,10,9.9417,10.01,10.863499999999998,16.469,0.006520359469999999,0.0293,4.0557243199999995,13.0611
6,2,21,22,10,9.9683,10.038,10.115400000000001,14.861,0.00594332721,0.03526247,1.014318292,1.819323
6,2,22,23,10,9.946,9.965,6.5661000000000005,11.07,0.0016893934200000002,0.003878879,2.5435019800000003,8.374845
